id	x	y
1	0.366	0.772
2	0.225	0.757
3	0.245	0.243
4	0.322	0.219
5	0.676	1.064
6	0.246	0.498
7	0.828	1.038
8	0.266	0.828
9	0.913	0.82
10	-0.028	0.868
11	0.334	0.159
12	0.162	0.536
13	0.224	0.552
14	0.211	0.136
15	0.857	0.948
16	0.161	0.305
17	0.206	0.876
18	0.174	0.079
19	0.125	0.679
20	0.105	0.593
21	0.057	0.073
22	0.321	0.139
23	0.764	0.899
24	0.219	0.639
25	0.225	0.208
26	0.253	0.18
27	0.106	0.675
28	0.37	0.068
29	0.216	0.666
30	0.774	0.875
31	0.573	0.896
32	0.435	0.222
33	0.258	0.091
34	0.227	0.651
35	0.728	0.916
36	0.421	-0.095
37	0.354	0.056
38	0.297	0.447
39	0.18	0.695
40	0.253	0.137
41	0.051	0.577
42	0.214	0.194
43	0.723	1.064
44	0.795	0.724
45	0.736	0.845
46	0.792	0.888
47	0.753	0.837
48	0.289	0.012
49	0.842	0.778
50	0.229	0.142
51	0.227	0.682
52	0.469	0.319
53	0.265	0.699
54	0.121	0.643
55	0.062	0.652
56	0.248	0.332
57	0.278	0.696
58	0.173	0.698
59	0.372	0.381
60	0.328	0.243
61	0.27	0.745
62	0.881	1.036
63	0.207	0.658
64	0.318	0.257
65	0.324	0.635
66	0.872	0.893
67	0.748	0.965
68	0.389	0.1
69	0.146	0.152
70	0.351	0.165
71	0.453	0.124
72	0.375	0.078
73	0.076	0.756
74	0.156	0.027
75	0.142	0.541
76	0.837	0.883
77	0.073	0.601
78	0.104	0.682
79	0.54	0.841
80	0.156	0.19
81	0.841	0.925
82	0.285	-0.107
83	0.298	0.069
84	0.269	0.124
85	0.086	0.747
86	0.805	0.875
87	0.87	1.068
88	0.091	0.687
89	0.091	0.765
90	0.831	0.859
91	0.239	0.082
92	0.388	0.132
93	0.187	0.564
94	0.233	0.958
95	0.324	0.015
96	0.32	0.013
97	0.217	0.52
98	0.274	0.804
99	0.357	0.828
100	0.22	0.201
